Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date,Undetermined
S0025,Mouse2,WT,Spleen,Ifng,22.07,1,2026-02-04,False
S0529,Mouse26,WT,Lymph Node,Ifng,22.35,1,2026-04-05,False
S0097,Mouse5,KO,Lymph Node,Cd8a,20.15,1,2026-04-09,False
S0888,Mouse43,WT,Spleen,Ifng,23.3,3,2026-04-27,False
S_955,Mouse46,KO,Spleen,Cd4,19.05,1,2026-03-21,False
S1377,Mouse66,KO,Thymus,Cd4,19.53,3,2026-04-01,False
S0100,Mouse5,KO,Lymph Node,Tnfa,22.52,1,2026-04-09,False
S1607,Mouse77,KO,Lymph Node,Cd4,21.12,2,2026-03-14,False
S1626,Mouse78,WT,Spleen,Foxp3,29.62,3,2026-04-21,False
S0358,Mouse18,KO,Spleen,Il2,24.24,1,2026-04-19,False
s1430,Mouse69,WT,Lymph Node,Il2,24.65,2,2026-04-02,False
S1489,Mouse71,KO,Spleen,Gapdh,,1,2026-09-03,False
S1824,Mouse87,HET,Spleen,Tnfa,23.77,3,2026-03-15,False
S0801,Mouse39,KO,Spleen,Il2,25.38,3,2026-04-25,False
S0518,Mouse25,KO,Thymus,Cd8a,,2,2026-03-21,True
S1701,Mouse81,WT,Spleen,Gapdh,17.74,3,2026-03-20,False
S0612 ,Mouse30,HET,Spleen,Il2,24.66,3,2026-03-10,False
s0271,Mouse13,WT,Thymus,Gapdh,18.95,1,2026-03-06,False
S0952,Mouse46,KO,Spleen,Foxp3,,1,2026-03-21,True
S0118,Mouse6,HET,Thymus,Cd8a,20.45,1,2026-03-22,False
S_1877,Mouse90,KO,Thymus,Foxp3,29.44,2,2026-03-05,False
S1768,Mouse85,KO,Thymus,Ifng,22.46,1,2026-03-04,False
S1758,Mouse84,KO,Spleen,Cd8a,21.12,3,2026-02-04,False
S0165,Mouse8,WT,Thymus,Tnfa,22.18,3,2026-08-04,False
S0807,Mouse39,KO,Spleen,Foxp3,25.75,3,2026-04-25,False
S1838,Mouse88,KO,Thymus,Cd4,28.71,2,2026-04-01,False
S0489,Mouse24,WT,Thymus,Ifng,21.64,3,2026-04-29,False
S0682,Mouse33,HET,Spleen,Cd4,19.89,1,2026-03-17,False
S0114,Mouse6,HET,Thymus,Foxp3,25.3,3,2026-03-22,False
S_379,Mouse19,KO,Lymph Node,Il2,26.47,1,2026-03-11,False
S0064 ,Mouse4,HET,Lymph Node,Il2,24.6,1,2026-02-04,False
S1168 ,Mouse56,WT,Thymus,Cd8a,21.82,1,2026-04-04,False
s0944,Mouse45,KO,Thymus,Gapdh,19.08,2,2026-03-15,False
S0187 ,Mouse9,KO,Spleen,Gapdh,26.91,1,2026-04-18,False
S1121 ,Mouse54,KO,Thymus,Foxp3,28.72,2,2026-04-28,False
S0873,Mouse42,KO,Thymus,Cd4,,3,2026-12-04,True
S1179,Mouse57,WT,Thymus,Il2,23.25,3,2026-04-13,False
S0295,Mouse15,WT,Thymus,Il2,24.77,1,2026-03-03,False
S0455,Mouse22,WT,Spleen,Cd8a,20.09,2,2026-03-03,False
S0287,Mouse14,HET,Thymus,Cd8a,21.49,2,2026-03-31,False
S1775,Mouse85,KO,Thymus,Cd4,20.23,2,2026-04-03,False
S0501,Mouse24,WT,Thymus,Tnfa,23.06,3,2026-04-29,False
S0301,Mouse15,WT,Thymus,Foxp3,26.5,1,2026-03-03,False
S1190,Mouse57,WT,Thymus,Cd8a,21.19,2,2026-04-13,False
S0316,Mouse16,HET,Spleen,Il2,24.47,1,2026-05-04,False
S1396,Mouse67,KO,Lymph Node,Cd4,19.87,1,2026-06-04,False
S0741,Mouse36,KO,Spleen,Ifng,,3,2026-03-21,True
S0360 ,Mouse18,KO,Spleen,Il2,25.12,3,2026-04-19,False
S0131,Mouse7,WT,Lymph Node,Ifng,22.32,2,2026-04-10,False
s0733,Mouse35,KO,Lymph Node,Gapdh,17.43,1,2026-03-30,False
S0190,Mouse10,WT,Spleen,Il2,24.09,1,2026-04-10,False
S0028,Mouse2,WT,Spleen,Foxp3,26.57,1,2026-02-04,False
S0664,Mouse32,WT,Lymph Node,Cd8a,20.32,1,2026-03-05,False
S_1713,Mouse82,KO,Thymus,Cd4,18.87,3,2026-03-16,False
S0984,Mouse47,KO,Spleen,Tnfa,23.38,3,2026-04-18,False
S0661,Mouse32,WT,Lymph Node,Cd4,20.56,1,2026-05-03,False
S1167 ,Mouse56,WT,Thymus,Cd4,,3,2026-04-04,True
S0685,Mouse33,HET,Spleen,Cd8a,20.58,1,2026-03-17,False
S1085 ,Mouse52,KO,Spleen,Cd8a,20.98,2,2026-04-17,False
S0670,Mouse32,WT,Lymph Node,Gapdh,17.78,1,2026-03-05,False
S1710,Mouse82,KO,Thymus,Foxp3,29.11,3,2026-03-16,False
S1045,Mouse50,HET,Thymus,Tnfa,22.84,1,2026-03-15,False
s1841,Mouse88,KO,Thymus,Cd8a,20.35,2,2026-04-01,False
S_1017,Mouse49,HET,Thymus,Foxp3,,3,2026-04-17,True
S1468,Mouse70,HET,Lymph Node,Gapdh,18.76,1,2026-03-26,False
S0639,Mouse31,HET,Spleen,Foxp3,26.01,3,2026-06-03,False
S0267 ,Mouse13,WT,Thymus,Cd8a,21.04,3,2026-03-06,False
S0861,Mouse41,KO,Spleen,Gapdh,17.71,3,2026-03-27,False
S1707,Mouse82,KO,Thymus,Ifng,22.4,3,2026-03-16,False
S0326,Mouse16,HET,Spleen,Cd4,19.81,2,2026-04-05,False
S1219,Mouse59,WT,Thymus,Il2,24.2,1,2026-03-24,False
S0732 ,Mouse35,KO,Lymph Node,Tnfa,23.63,3,2026-03-30,False
S0573,Mouse28,KO,Spleen,Ifng,22.04,3,2026-03-28,False
S1426,Mouse68,HET,Thymus,Gapdh,17.1,1,2026-04-20,False
S1629,Mouse78,WT,Spleen,Cd4,20.31,3,2026-04-21,False
S1538,Mouse74,WT,Spleen,Ifng,21.45,2,2026-04-27,False
S1135,Mouse55,KO,Spleen,Il2,24.87,1,2026-03-29,False
S1370,Mouse66,KO,Thymus,Ifng,21.2,2,2026-04-01,False
S0018,Mouse1,KO,Spleen,Tnfa,22.55,3,2026-03-15,False
S0594,Mouse29,WT,Spleen,Ifng,21.97,3,2026-04-28,False
s0541,Mouse26,WT,Lymph Node,Tnfa,23.24,1,2026-05-04,False
S1204,Mouse58,HET,Thymus,Foxp3,26.98,1,2026-04-19,False
S1280,Mouse61,KO,Spleen,Gapdh,18.49,2,2026-11-03,False
S1535,Mouse74,WT,Spleen,Il2,27.71,2,2026-04-27,False
S1655,Mouse79,WT,Thymus,Tnfa,23.33,2,2026-03-23,False
S0667,Mouse32,WT,Lymph Node,Tnfa,22.27,1,2026-05-03,False
S0119,Mouse6,HET,Thymus,Cd8a,21.84,2,2026-03-22,False
S0994,Mouse48,WT,Lymph Node,Foxp3,25.68,1,2026-05-04,False
S0718,Mouse35,KO,Lymph Node,Ifng,31.88,1,2026-03-30,False
S_55,Mouse3,HET,Thymus,Cd8a,20.88,1,2026-04-03,False
S_490,Mouse24,WT,Thymus,Foxp3,25.48,1,2026-04-29,False
s0756,Mouse36,KO,Spleen,Gapdh,17.85,3,2026-03-21,False
S_361,Mouse18,KO,Spleen,Ifng,22.72,1,2026-04-19,False
S0181 ,Mouse9,KO,Spleen,Cd8a,20.73,1,2026-04-18,False
S0260,Mouse13,WT,Thymus,Foxp3,25.72,2,2026-06-03,False
S1436,Mouse69,WT,Lymph Node,Foxp3,,2,2026-02-04,True
s1654,Mouse79,WT,Thymus,Tnfa,23.6,1,2026-03-23,False
S1834,Mouse88,KO,Thymus,Foxp3,26.29,1,2026-04-01,False
S0735,Mouse35,KO,Lymph Node,Gapdh,18.3,3,2026-03-30,False
S_1546,Mouse74,WT,Spleen,Cd8a,,1,2026-04-27,False
s0211,Mouse11,KO,Lymph Node,Il2,27.21,1,2026-04-17,False
s0831,Mouse40,WT,Spleen,Cd4,19.62,3,2026-11-03,False
S1412,Mouse68,HET,Thymus,Ifng,21.51,2,2026-04-20,False
S0377,Mouse18,KO,Spleen,Gapdh,,2,2026-04-19,False
S1074,Mouse52,KO,Spleen,Il2,29.26,3,2026-04-17,False
S1213,Mouse58,HET,Thymus,Tnfa,22.61,1,2026-04-19,False
S1297,Mouse62,HET,Lymph Node,Tnfa,22.27,1,2026-04-03,False
S_1505,Mouse72,KO,Thymus,Cd8a,20.25,2,2026-03-28,False
S0024,Mouse2,WT,Spleen,Il2,24.24,3,2026-04-02,False
S1016,Mouse49,HET,Thymus,Foxp3,25.66,2,2026-04-17,False
S1206 ,Mouse58,HET,Thymus,Foxp3,25.67,3,2026-04-19,False
S_693,Mouse33,HET,Spleen,Gapdh,18.13,3,2026-03-17,False
S0152,Mouse8,WT,Thymus,Ifng,22.51,2,2026-04-08,False
S0347,Mouse17,WT,Spleen,Cd4,20.3,2,2026-10-03,False
S1624,Mouse78,WT,Spleen,Foxp3,28.8,1,2026-04-21,False
S1564,Mouse75,HET,Spleen,Cd4,19.67,1,2026-10-03,False
S0020,Mouse1,KO,Spleen,Gapdh,16.72,2,2026-03-15,False
S1634,Mouse78,WT,Spleen,Tnfa,23.86,2,2026-04-21,False
S_1345,Mouse65,WT,Spleen,Il2,24.17,1,2026-03-14,False
S0143,Mouse7,WT,Lymph Node,Tnfa,22.81,2,2026-04-10,False
S0229,Mouse11,KO,Lymph Node,Gapdh,16.78,1,2026-04-17,False
S0214,Mouse11,KO,Lymph Node,Ifng,20.88,1,2026-04-17,False
S1509,Mouse72,KO,Thymus,Tnfa,22.68,3,2026-03-28,False
S1065,Mouse51,HET,Spleen,Cd8a,20.89,3,2026-04-29,False
S1418,Mouse68,HET,Thymus,Cd4,20.3,2,2026-04-20,False
S0740,Mouse36,KO,Spleen,Ifng,22.07,2,2026-03-21,False
S0659,Mouse32,WT,Lymph Node,Foxp3,25.33,2,2026-05-03,False
S0450,Mouse22,WT,Spleen,Foxp3,26.45,3,2026-03-03,False
S0658,Mouse32,WT,Lymph Node,Foxp3,25.53,1,2026-05-03,False
S0016,Mouse1,KO,Spleen,Tnfa,22.09,1,2026-03-15,False
S1709,Mouse82,KO,Thymus,Foxp3,29.7,2,2026-03-16,False
S1406,Mouse67,KO,Lymph Node,Gapdh,17.9,2,2026-04-06,False
S_1690,Mouse81,WT,Spleen,Cd4,20.09,1,2026-03-20,False
S_894,Mouse43,WT,Spleen,Cd4,20.17,3,2026-04-27,False
S1319,Mouse63,KO,Spleen,Tnfa,22.7,2,2026-12-04,False
S0665,Mouse32,WT,Lymph Node,Cd8a,20.69,2,2026-03-05,False
S0312 ,Mouse15,WT,Thymus,Tnfa,24.26,3,2026-03-03,False
S1518,Mouse73,WT,Lymph Node,Ifng,22.83,3,2026-04-14,False
S0035,Mouse2,WT,Spleen,Cd8a,20.86,2,2026-04-02,False
S0216 ,Mouse11,KO,Lymph Node,Ifng,21.03,3,2026-04-17,False
S1103,Mouse53,WT,Thymus,Cd4,20.34,2,2026-03-30,False
S_1269,Mouse61,KO,Spleen,Foxp3,29.1,3,2026-11-03,False
S0355,Mouse17,WT,Spleen,Gapdh,18.28,1,2026-10-03,False
S1119,Mouse54,KO,Thymus,Ifng,21.07,3,2026-04-28,False
S0208,Mouse10,WT,Spleen,Gapdh,18.46,1,2026-10-04,False
S1227,Mouse59,WT,Thymus,Foxp3,25.58,3,2026-03-24,False
S0699,Mouse34,HET,Spleen,Ifng,22.07,3,2026-08-04,False
S1574,Mouse75,HET,Spleen,Gapdh,17.5,2,2026-03-10,False
s1443,Mouse69,WT,Lymph Node,Cd8a,21.77,3,2026-04-02,False
S0654,Mouse32,WT,Lymph Node,Il2,22.76,3,2026-05-03,False
S1029,Mouse49,HET,Thymus,Gapdh,18.33,3,2026-04-17,False
S_417,Mouse20,WT,Spleen,Tnfa,23.9,3,2026-03-15,False
S1672,Mouse80,WT,Spleen,Cd8a,20.33,1,2026-03-24,False
S_1472,Mouse71,KO,Spleen,Il2,27.61,2,2026-09-03,False
S1720,Mouse82,KO,Thymus,Gapdh,18.54,1,2026-03-16,False
S1284,Mouse62,HET,Lymph Node,Il2,23.21,3,2026-03-04,False
S0443,Mouse22,WT,Spleen,Il2,25.18,2,2026-03-03,False
S_1047,Mouse50,HET,Thymus,Tnfa,23.39,3,2026-03-15,False
S1091 ,Mouse52,KO,Spleen,Gapdh,,2,2026-04-17,True
S0349,Mouse17,WT,Spleen,Cd8a,20.13,1,2026-03-10,False
S0588,Mouse28,KO,Spleen,Gapdh,19.13,3,2026-03-28,False
S0404,Mouse20,WT,Spleen,Ifng,23.05,2,2026-03-15,False
s0363,Mouse18,KO,Spleen,Ifng,21.93,3,2026-04-19,False
S0027,Mouse2,WT,Spleen,Ifng,,3,2026-02-04,True
S1619,Mouse78,WT,Spleen,Il2,27.17,2,2026-04-21,False
S1117,Mouse54,KO,Thymus,Ifng,21.47,1,2026-04-28,False
S0178,Mouse9,KO,Spleen,Cd4,19.92,1,2026-04-18,False
S1832,Mouse88,KO,Thymus,Ifng,22.86,2,2026-01-04,False
S1620,Mouse78,WT,Spleen,Il2,27.19,3,2026-04-21,False
S0706,Mouse34,HET,Spleen,Cd8a,20.75,1,2026-04-08,False
S1675,Mouse80,WT,Spleen,Tnfa,22.69,1,2026-03-24,False
S_253,Mouse13,WT,Thymus,Il2,23.22,1,2026-06-03,False
S0415,Mouse20,WT,Spleen,Tnfa,22.84,1,2026-03-15,False
S0194,Mouse10,WT,Spleen,Ifng,22.34,2,2026-10-04,False
s1083,Mouse52,KO,Spleen,Cd4,20.33,3,2026-04-17,False
S1706,Mouse82,KO,Thymus,Ifng,,2,2026-03-16,True
S0937,Mouse45,KO,Thymus,Cd8a,21.39,1,2026-03-15,False
S0446,Mouse22,WT,Spleen,Ifng,22.13,2,2026-03-03,False
S1711,Mouse82,KO,Thymus,Cd4,19.45,1,2026-03-16,False
S0884,Mouse43,WT,Spleen,Il2,24.03,2,2026-04-27,False
S1011,Mouse49,HET,Thymus,Il2,23.06,3,2026-04-17,False
s0452,Mouse22,WT,Spleen,Cd4,19.65,2,2026-03-03,False
S0465,Mouse23,KO,Spleen,Il2,23.04,3,2026-04-29,False
S0611,Mouse30,HET,Spleen,Il2,24.03,2,2026-10-03,False
S0459,Mouse22,WT,Spleen,Tnfa,23.35,3,2026-03-03,False
S1308,Mouse63,KO,Spleen,Ifng,22.1,3,2026-04-12,False
S1511,Mouse72,KO,Thymus,Gapdh,16.86,2,2026-03-28,False
S0839,Mouse40,WT,Spleen,Gapdh,18.12,2,2026-11-03,False
s0370,Mouse18,KO,Spleen,Cd8a,19.91,1,2026-04-19,False
S0485,Mouse24,WT,Thymus,Il2,23.16,2,2026-04-29,False
S0603,Mouse29,WT,Spleen,Cd8a,20.53,3,2026-04-28,False
S1127,Mouse54,KO,Thymus,Cd8a,19.65,2,2026-04-28,False
S0308 ,Mouse15,WT,Thymus,Cd8a,20.92,2,2026-03-03,False
S_286,Mouse14,HET,Thymus,Cd8a,21.18,1,2026-03-31,False
S0621,Mouse30,HET,Spleen,Cd4,19.23,3,2026-10-03,False
S1193,Mouse57,WT,Thymus,Tnfa,22.89,2,2026-04-13,False
S1852,Mouse89,WT,Spleen,Ifng,21.52,1,2026-03-28,False
S0563,Mouse27,WT,Spleen,Tnfa,23.2,2,2026-04-14,False
S0596,Mouse29,WT,Spleen,Foxp3,28.82,2,2026-04-28,False
S0849,Mouse41,KO,Spleen,Foxp3,29.39,3,2026-03-27,False
S1163,Mouse56,WT,Thymus,Foxp3,25.04,2,2026-04-04,False
S1196,Mouse57,WT,Thymus,Gapdh,17.91,2,2026-04-13,False
S0098,Mouse5,KO,Lymph Node,Cd8a,,2,2026-04-09,False
S0700,Mouse34,HET,Spleen,Foxp3,29.59,1,2026-08-04,False
s0896,Mouse43,WT,Spleen,Cd8a,21.11,2,2026-04-27,False
S0678,Mouse33,HET,Spleen,Ifng,21.81,3,2026-03-17,False
S_140,Mouse7,WT,Lymph Node,Cd8a,21.32,2,2026-04-10,False
s1497,Mouse72,KO,Thymus,Ifng,23.12,3,2026-03-28,False
S0833,Mouse40,WT,Spleen,Cd8a,,2,2026-03-11,True
S0632,Mouse31,HET,Spleen,Il2,24.42,2,2026-06-03,False
S_846,Mouse41,KO,Spleen,Ifng,22.2,3,2026-03-27,False
S_1407,Mouse67,KO,Lymph Node,Gapdh,17.2,3,2026-06-04,False
s0129,Mouse7,WT,Lymph Node,Il2,24.39,3,2026-04-10,False
S1751,Mouse84,KO,Spleen,Foxp3,27.3,2,2026-02-04,False
S0597,Mouse29,WT,Spleen,Foxp3,30.97,3,2026-04-28,False
S0684 ,Mouse33,HET,Spleen,Cd4,20.63,3,2026-03-17,False
S1295,Mouse62,HET,Lymph Node,Cd8a,20.44,2,2026-03-04,False
S0523,Mouse25,KO,Thymus,Gapdh,18.5,1,2026-03-21,False
S0265,Mouse13,WT,Thymus,Cd8a,21.12,1,2026-06-03,False
S1349,Mouse65,WT,Spleen,Ifng,21.04,2,2026-03-14,False
S1347,Mouse65,WT,Spleen,Il2,24.69,3,2026-03-14,False
S1510,Mouse72,KO,Thymus,Gapdh,18.46,1,2026-03-28,False
s0499,Mouse24,WT,Thymus,Tnfa,23.3,1,2026-04-29,False
s1264,Mouse61,KO,Spleen,Ifng,21.94,1,2026-03-11,False
s1576,Mouse76,KO,Thymus,Il2,27.47,1,2026-03-17,False
S1550 ,Mouse74,WT,Spleen,Tnfa,23.06,2,2026-04-27,False
S0433,Mouse21,WT,Thymus,Cd8a,,1,2026-03-10,True
S1099,Mouse53,WT,Thymus,Foxp3,26.6,1,2026-03-30,False
S0708,Mouse34,HET,Spleen,Cd8a,21.06,3,2026-08-04,False
S0069,Mouse4,HET,Lymph Node,Ifng,21.98,3,2026-04-02,False
S1622,Mouse78,WT,Spleen,Ifng,22.46,2,2026-04-21,False
S1721,Mouse82,KO,Thymus,Gapdh,18.54,2,2026-03-16,False
S1180,Mouse57,WT,Thymus,Ifng,21.58,1,2026-04-13,False
S0976,Mouse47,KO,Spleen,Cd4,20.34,1,2026-04-18,False
S0339 ,Mouse17,WT,Spleen,Il2,26.28,3,2026-03-10,False
S1134,Mouse54,KO,Thymus,Gapdh,17.08,3,2026-04-28,False
S0384 ,Mouse19,KO,Lymph Node,Ifng,21.64,3,2026-11-03,False
S0830,Mouse40,WT,Spleen,Cd4,,2,2026-03-11,True
S0056 ,Mouse3,HET,Thymus,Cd8a,20.63,2,2026-04-03,False
S1507,Mouse72,KO,Thymus,Tnfa,22.15,1,2026-03-28,False
S_688,Mouse33,HET,Spleen,Tnfa,23.36,1,2026-03-17,False
S1456 ,Mouse70,HET,Lymph Node,Foxp3,26.25,1,2026-03-26,False
S0638,Mouse31,HET,Spleen,Foxp3,26.04,2,2026-03-06,False
S1612,Mouse77,KO,Lymph Node,Tnfa,23.51,1,2026-03-14,False
S0171,Mouse9,KO,Spleen,Il2,25.64,3,2026-04-18,False
S1716,Mouse82,KO,Thymus,Cd8a,21.47,3,2026-03-16,False
S0965,Mouse46,KO,Spleen,Gapdh,17.87,2,2026-03-21,False
S0327,Mouse16,HET,Spleen,Cd4,20.25,3,2026-05-04,False
S0504,Mouse24,WT,Thymus,Gapdh,18.33,3,2026-04-29,False
S0893 ,Mouse43,WT,Spleen,Cd4,19.94,2,2026-04-27,False
S0410,Mouse20,WT,Spleen,Cd4,20.41,2,2026-03-15,False
S0298,Mouse15,WT,Thymus,Ifng,21.88,1,2026-03-03,False
S1152,Mouse55,KO,Spleen,Tnfa,23.24,3,2026-03-29,False
S1211,Mouse58,HET,Thymus,Cd8a,20.65,2,2026-04-19,False
s0672,Mouse32,WT,Lymph Node,Gapdh,18.27,3,2026-03-05,False
S0745,Mouse36,KO,Spleen,Cd4,19.98,1,2026-03-21,False
S1040,Mouse50,HET,Thymus,Cd4,19.58,2,2026-03-15,False
S0649,Mouse31,HET,Spleen,Gapdh,17.85,1,2026-06-03,False
S1600,Mouse77,KO,Lymph Node,Ifng,21.55,1,2026-03-14,False
S1462,Mouse70,HET,Lymph Node,Cd8a,20.76,1,2026-03-26,False
S1863,Mouse89,WT,Spleen,Cd8a,21.33,3,2026-03-28,False
s1043,Mouse50,HET,Thymus,Cd8a,19.74,2,2026-03-15,False
S0532,Mouse26,WT,Lymph Node,Foxp3,25.64,1,2026-05-04,False
S0408,Mouse20,WT,Spleen,Foxp3,26.82,3,2026-03-15,False
S0200,Mouse10,WT,Spleen,Cd4,20.31,2,2026-10-04,False
s0474,Mouse23,KO,Spleen,Cd4,20.89,3,2026-04-29,False
S0841,Mouse41,KO,Spleen,Il2,28.43,1,2026-03-27,False
S0217,Mouse11,KO,Lymph Node,Foxp3,29.22,1,2026-04-17,False
S0254,Mouse13,WT,Thymus,Il2,23.94,2,2026-06-03,False
S0153,Mouse8,WT,Thymus,Ifng,22.1,3,2026-04-08,False
S0825,Mouse40,WT,Spleen,Ifng,22.17,3,2026-11-03,False
S1078,Mouse52,KO,Spleen,Foxp3,29.89,1,2026-04-17,False
S1195,Mouse57,WT,Thymus,Gapdh,18.03,1,2026-04-13,False
S1383,Mouse66,KO,Thymus,Tnfa,23.17,3,2026-04-01,False
S0636,Mouse31,HET,Spleen,Ifng,21.34,3,2026-06-03,False
S1532,Mouse73,WT,Lymph Node,Gapdh,18.07,2,2026-04-14,False
S1178,Mouse57,WT,Thymus,Il2,25.05,2,2026-04-13,False
S0531,Mouse26,WT,Lymph Node,Ifng,22.22,3,2026-05-04,False
s1082,Mouse52,KO,Spleen,Cd4,19.9,2,2026-04-17,False
S1887 ,Mouse90,KO,Thymus,Tnfa,,3,2026-03-05,True
S0241,Mouse12,WT,Thymus,Cd4,20.57,1,2026-03-04,False
S1261 ,Mouse61,KO,Spleen,Il2,27.5,1,2026-03-11,False
S1356,Mouse65,WT,Spleen,Cd4,20.48,3,2026-03-14,False
S0188,Mouse9,KO,Spleen,Gapdh,18.06,2,2026-04-18,False
S0247 ,Mouse12,WT,Thymus,Tnfa,22.56,1,2026-03-04,False
S1325,Mouse64,WT,Lymph Node,Il2,23.98,2,2026-04-07,False
S0949,Mouse46,KO,Spleen,Ifng,22.5,1,2026-03-21,False
S0803,Mouse39,KO,Spleen,Ifng,21.73,2,2026-04-25,False
s0303,Mouse15,WT,Thymus,Foxp3,26.78,3,2026-03-03,False
S0284,Mouse14,HET,Thymus,Cd4,19.58,2,2026-03-31,False
S1324,Mouse64,WT,Lymph Node,Il2,24.46,1,2026-04-07,False
S0506,Mouse25,KO,Thymus,Il2,27.84,2,2026-03-21,False
S1827,Mouse87,HET,Spleen,Gapdh,19.1,3,2026-03-15,False
S0968,Mouse47,KO,Spleen,Il2,26.27,2,2026-04-18,False
S1402,Mouse67,KO,Lymph Node,Tnfa,23.09,1,2026-04-06,False
S1200,Mouse58,HET,Thymus,Il2,23.18,3,2026-04-19,False
S0755,Mouse36,KO,Spleen,Gapdh,17.56,2,2026-03-21,False
S0622,Mouse30,HET,Spleen,Cd8a,20.22,1,2026-03-10,False
S1660,Mouse80,WT,Spleen,Il2,22.78,1,2026-03-24,False
S0948,Mouse46,KO,Spleen,Il2,23.59,3,2026-03-21,False
s0123,Mouse6,HET,Thymus,Tnfa,22.41,3,2026-03-22,False
S0729,Mouse35,KO,Lymph Node,Cd8a,20.45,3,2026-03-30,False
s0511,Mouse25,KO,Thymus,Foxp3,29.66,1,2026-03-21,False
S0281 ,Mouse14,HET,Thymus,Foxp3,25.65,2,2026-03-31,False
S1184,Mouse57,WT,Thymus,Foxp3,26.75,2,2026-04-13,False
S1320,Mouse63,KO,Spleen,Tnfa,22.3,3,2026-04-12,False
S0886,Mouse43,WT,Spleen,Ifng,22.45,1,2026-04-27,False
S1719,Mouse82,KO,Thymus,Tnfa,23.26,3,2026-03-16,False
S1003,Mouse48,WT,Lymph Node,Tnfa,22.7,1,2026-04-05,False
S0519,Mouse25,KO,Thymus,Cd8a,20.48,3,2026-03-21,False
S0689 ,Mouse33,HET,Spleen,Tnfa,22.23,2,2026-03-17,False
S1433,Mouse69,WT,Lymph Node,Ifng,23.09,2,2026-02-04,False
S0068,Mouse4,HET,Lymph Node,Ifng,22.92,2,2026-02-04,False
S1881,Mouse90,KO,Thymus,Cd4,19.28,3,2026-03-05,False
S0569,Mouse28,KO,Spleen,Il2,27.22,2,2026-03-28,False
S0769,Mouse37,HET,Spleen,Cd8a,21.26,1,2026-03-03,False
S1138,Mouse55,KO,Spleen,Ifng,22.44,1,2026-03-29,False
S1361,Mouse65,WT,Spleen,Tnfa,23.05,2,2026-03-14,False
S1678,Mouse80,WT,Spleen,Gapdh,18.61,1,2026-03-24,False
S0473,Mouse23,KO,Spleen,Cd4,20.0,2,2026-04-29,False
S1294,Mouse62,HET,Lymph Node,Cd8a,19.81,1,2026-04-03,False
S0512,Mouse25,KO,Thymus,Foxp3,28.96,2,2026-03-21,False
S0971 ,Mouse47,KO,Spleen,Ifng,21.4,2,2026-04-18,False
S1417 ,Mouse68,HET,Thymus,Cd4,19.38,1,2026-04-20,False
S1332,Mouse64,WT,Lymph Node,Foxp3,25.33,3,2026-04-07,False
S0319,Mouse16,HET,Spleen,Ifng,,1,2026-05-04,False
S0904,Mouse44,KO,Spleen,Il2,23.09,1,2026-03-11,False
S0582,Mouse28,KO,Spleen,Cd8a,21.23,3,2026-03-28,False
s0133,Mouse7,WT,Lymph Node,Foxp3,26.37,1,2026-04-10,False
s1635,Mouse78,WT,Spleen,Tnfa,22.29,3,2026-04-21,False
S0836,Mouse40,WT,Spleen,Tnfa,23.28,2,2026-03-11,False
S0716,Mouse35,KO,Lymph Node,Il2,28.44,2,2026-03-30,False
S1847,Mouse88,KO,Thymus,Gapdh,18.79,2,2026-01-04,False
S0369,Mouse18,KO,Spleen,Cd4,20.62,3,2026-04-19,False
S_1296,Mouse62,HET,Lymph Node,Cd8a,20.91,3,2026-04-03,False
S0126 ,Mouse6,HET,Thymus,Gapdh,26.09,3,2026-03-22,False
S0842,Mouse41,KO,Spleen,Il2,28.58,2,2026-03-27,False
S0946,Mouse46,KO,Spleen,Il2,23.14,1,2026-03-21,False
S0257 ,Mouse13,WT,Thymus,Ifng,22.93,2,2026-03-06,False
S1861,Mouse89,WT,Spleen,Cd8a,20.72,1,2026-03-28,False
S1052,Mouse51,HET,Spleen,Il2,24.73,2,2026-04-29,False
S0290,Mouse14,HET,Thymus,Tnfa,22.66,2,2026-03-31,False
S0082,Mouse4,HET,Lymph Node,Gapdh,17.7,1,2026-02-04,False
S0054,Mouse3,HET,Thymus,Cd4,20.45,3,2026-04-03,False
S1084,Mouse52,KO,Spleen,Cd8a,20.45,1,2026-04-17,False
S0558,Mouse27,WT,Spleen,Cd4,18.67,3,2026-04-14,False
S0041,Mouse2,WT,Spleen,Gapdh,18.13,2,2026-04-02,False
S1147,Mouse55,KO,Spleen,Cd8a,20.48,1,2026-03-29,False
S0262,Mouse13,WT,Thymus,Cd4,21.41,1,2026-06-03,False
S1524 ,Mouse73,WT,Lymph Node,Cd4,19.9,3,2026-04-14,False
S1095,Mouse53,WT,Thymus,Il2,23.35,3,2026-03-30,False
S0084,Mouse4,HET,Lymph Node,Gapdh,,3,2026-02-04,False
S1282,Mouse62,HET,Lymph Node,Il2,24.33,1,2026-03-04,False
s1154,Mouse55,KO,Spleen,Gapdh,18.46,2,2026-03-29,False
S_1657,Mouse79,WT,Thymus,Gapdh,17.66,1,2026-03-23,False
S0730,Mouse35,KO,Lymph Node,Tnfa,22.19,1,2026-03-30,False
S0031,Mouse2,WT,Spleen,Cd4,19.39,1,2026-04-02,False
S0514,Mouse25,KO,Thymus,Cd4,19.0,1,2026-03-21,False
S1234,Mouse59,WT,Thymus,Tnfa,22.15,1,2026-03-24,False
