Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date
S0165,mouse_8,WT,thymus,Tnfa,22.18,3,2026.04.08
S0807,M-39,ko,spleen,Foxp3,25.75,3,25.04.2026
S1838,M-88,KO,thymus,Cd4,28.71,2,01/04/2026
S0489,Mouse24,WT,thymus,Ifng,21.64,3,04-29-2026
S0682,M-33,Het,spleen,Cd4,19.89,1,17.03.2026
S0114,Mouse 6,Het,thymus,FOXP3,25.3,3,22/03/2026
S_379,Mouse 19,KO,Lymph Node,Il2,26.47,1,11.03.2026
S0064 ,Mouse 4,Het,Lymph Node,Il2,24.6,1,2026.04.02
S1168 ,M-56,WT,thymus,CD8A,21.82,1,04.04.2026
s0944,mouse_45,ko,thymus,Gapdh,19.08,2,03-15-2026
S0187 ,Mouse 9,KO ,spleen,Gapdh,26.91,1,18/04/2026
S1121 ,Mouse 54,KO,thymus,Foxp3,28.72,2,28/04/2026
S0873,mouse_42,KO,Thymus,CD4,Undetermined,3,04-12-2026
S1179,M-57,WT,Thymus,Il2,23.25,3,2026.04.13
S0295,Mouse 15,WT ,thymus,Il2,24.77,1,2026.03.03
S0455,Mouse 22,wt,spleen,Cd8a,20.09,2,03-03-2026
S0287,Mouse 14,HET,Thymus,Cd8a,21.49,2,31/03/2026
S1775,mouse_85,KO,Thymus,Cd4,20.23,2,03/04/2026
S0501,Mouse24,WT,thymus,Tnfa,23.06,3,04-29-2026
S0301,Mouse 15,WT ,thymus,FOXP3,26.5,1,2026.03.03
S1190,M-57,WT,Thymus,Cd8a,21.19,2,2026.04.13
S0316,Mouse16,Het,spleen,Il2,24.47,1,2026.04.05
S1396,Mouse67,KO,Lymph Node,Cd4,19.87,1,04-06-2026
S0741,Mouse36,KO,Spleen,IFNG,Undetermined,3,03-21-2026
S0360 ,Mouse 18,ko,Spleen,Il2,25.12,3,19.04.2026
S0131,Mouse 7,WT,Lymph Node,Ifng,22.32,2,10.04.2026
s0733,M-35,KO,Lymph Node,Gapdh,17.43,1,2026.03.30
S0190,M-10,wt,Spleen,Il2,24.09,1,10/04/2026
S0028,Mouse 2,WT,Spleen,FOXP3,26.57,1,04-02-2026
S0664,M-32,WT,Lymph Node,Cd8a,20.32,1,05.03.2026
S_1713,mouse_82,KO,Thymus,Cd4,18.87,3,03-16-2026
S0984,M-47,KO,spleen,Tnfa,23.38,3,04-18-2026
S0661,M-32,WT,Lymph Node,Cd4,20.56,1,2026.03.05
S1167 ,M-56,WT,thymus,Cd4,Undetermined,3,04.04.2026
S0685,M-33,Het,spleen,Cd8a,20.58,1,03-17-2026
S1085 ,mouse_52,KO,Spleen,CD8A,20.98,2,2026.04.17
S0670,M-32,WT,Lymph Node,Gapdh,17.78,1,05/03/2026
S1710,mouse_82,KO,Thymus,Foxp3,29.11,3,16.03.2026
S1045,Mouse 50,Het,Thymus,Tnfa,22.84,1,15/03/2026
s1841,M-88,KO,thymus,CD8A,20.35,2,01/04/2026
S_1017,Mouse49,Het,thymus,Foxp3,Undetermined,3,17/04/2026
S1468,M-70,Het,Lymph Node,GAPDH,18.76,1,26.03.2026
S0639,M-31,HET,Spleen,Foxp3,26.01,3,2026.03.06
S0267 ,mouse_13,WT,Thymus,Cd8a,21.04,3,06/03/2026
S0861,mouse_41,KO ,Spleen,GAPDH,17.71,3,03-27-2026
S1707,mouse_82,KO,Thymus,Ifng,22.4,3,16.03.2026
S0326,Mouse16,Het,spleen,Cd4,19.81,2,05.04.2026
S1219,M-59,WT,Thymus,Il2,24.2,1,03-24-2026
S0732 ,M-35,KO,Lymph Node,Tnfa,23.63,3,2026.03.30
S0573,Mouse28,KO,Spleen,Ifng,22.04,3,03-28-2026
S1426,Mouse68,Het,thymus,Gapdh,17.1,1,20/04/2026
S1629,Mouse78,wt,spleen,Cd4,20.31,3,21.04.2026
S1538,Mouse74,WT,Spleen,Ifng,21.45,2,27.04.2026
S1135,Mouse55,KO ,spleen,Il2,24.87,1,29/03/2026
S1370,M-66,KO,thymus,Ifng,21.2,2,01.04.2026
S0018,mouse_1,ko,Spleen,Tnfa,22.55,3,2026.03.15
S0594,mouse_29,wt,spleen,Ifng,21.97,3,2026.04.28
s0541,Mouse 26,WT ,Lymph Node,TNFA,23.24,1,2026.04.05
S1204,mouse_58,Het,thymus,Foxp3,26.98,1,04-19-2026
S1280,mouse_61,ko,spleen,Gapdh,18.49,2,03-11-2026
S1535,Mouse74,WT,Spleen,Il2,27.71,2,2026.04.27
S1655,mouse_79,WT,thymus,Tnfa,23.33,2,23.03.2026
S0667,M-32,WT,Lymph Node,TNFA,22.27,1,2026.03.05
S0119,Mouse 6,Het,thymus,Cd8a,21.84,2,03-22-2026
S0994,M-48,WT,Lymph Node,Foxp3,25.68,1,04-05-2026
S0718,M-35,KO,Lymph Node,Ifng,31.88,1,2026.03.30
S_55,Mouse 3,Het,Thymus,CD8A,20.88,1,2026.03.04
S_490,Mouse24,WT,thymus,Foxp3,25.48,1,04-29-2026
s0756,Mouse36,KO,Spleen,Gapdh,17.85,3,2026.03.21
S_361,Mouse 18,ko,Spleen,Ifng,22.72,1,2026.04.19
S0181 ,Mouse 9,KO ,spleen,Cd8a,20.73,1,04-18-2026
S0260,mouse_13,WT,Thymus,Foxp3,25.72,2,2026.03.06
S1436,Mouse69,WT,Lymph Node,FOXP3,Undetermined,2,04-02-2026
s1654,mouse_79,WT,thymus,TNFA,23.6,1,03-23-2026
S1834,M-88,KO,thymus,FOXP3,26.29,1,01.04.2026
S0735,M-35,KO,Lymph Node,Gapdh,18.3,3,30.03.2026
S_1546,Mouse74,WT,Spleen,Cd8a,,1,27/04/2026
s0211,M-11,KO,Lymph Node,Il2,27.21,1,17.04.2026
s0831,Mouse 40,WT,spleen,Cd4,19.62,3,2026.03.11
S1412,Mouse68,Het,thymus,Ifng,21.51,2,2026.04.20
S0377,Mouse 18,ko,Spleen,GAPDH,,2,19.04.2026
S1074,mouse_52,KO,Spleen,Il2,29.26,3,17.04.2026
S1213,mouse_58,Het,thymus,TNFA,22.61,1,19/04/2026
S1297,Mouse62,Het,Lymph Node,Tnfa,22.27,1,03-04-2026
S_1505,Mouse72,ko,Thymus,CD8A,20.25,2,28/03/2026
S0024,Mouse 2,WT,Spleen,Il2,24.24,3,02/04/2026
S1016,Mouse49,Het,thymus,Foxp3,25.66,2,2026.04.17
S1206 ,mouse_58,Het,thymus,Foxp3,25.67,3,2026.04.19
S_693,M-33,Het,spleen,Gapdh,18.13,3,2026.03.17
S0152,mouse_8,WT,thymus,Ifng,22.51,2,08.04.2026
S0347,Mouse 17,WT,spleen,CD4,20.3,2,2026.03.10
S1624,Mouse78,wt,spleen,Foxp3,28.8,1,21/04/2026
S1564,mouse_75,Het,Spleen,Cd4,19.67,1,03-10-2026
S0020,mouse_1,ko,Spleen,GAPDH,16.72,2,2026.03.15
S1634,Mouse78,wt,spleen,Tnfa,23.86,2,21.04.2026
S_1345,mouse_65,WT,spleen,Il2,24.17,1,2026.03.14
S0143,Mouse 7,WT,Lymph Node,TNFA,22.81,2,10.04.2026
S0229,M-11,KO,Lymph Node,Gapdh,16.78,1,2026.04.17
S0214,M-11,KO,Lymph Node,Ifng,20.88,1,17/04/2026
S1509,Mouse72,ko,Thymus,Tnfa,22.68,3,2026.03.28
S1065,Mouse51,HET,spleen,Cd8a,20.89,3,2026.04.29
S1418,Mouse68,Het,thymus,Cd4,20.3,2,04-20-2026
S0740,Mouse36,KO,Spleen,Ifng,22.07,2,03-21-2026
S0659,M-32,WT,Lymph Node,FOXP3,25.33,2,2026.03.05
S0450,Mouse 22,wt,spleen,Foxp3,26.45,3,03-03-2026
S0658,M-32,WT,Lymph Node,Foxp3,25.53,1,03-05-2026
S0016,mouse_1,ko,Spleen,Tnfa,22.09,1,03-15-2026
S1709,mouse_82,KO,Thymus,Foxp3,29.7,2,16/03/2026
S1406,Mouse67,KO,Lymph Node,Gapdh,17.9,2,06/04/2026
S_1690,Mouse81,WT,Spleen,Cd4,20.09,1,20.03.2026
S_894,Mouse43,WT,Spleen,Cd4,20.17,3,2026.04.27
S1319,mouse_63,KO,spleen,Tnfa,22.7,2,2026.04.12
S0665,M-32,WT,Lymph Node,Cd8a,20.69,2,05.03.2026
S0312 ,Mouse 15,WT ,thymus,Tnfa,24.26,3,03/03/2026
S1518,Mouse73,WT,Lymph Node,Ifng,22.83,3,2026.04.14
S0035,Mouse 2,WT,Spleen,Cd8a,20.86,2,02.04.2026
S0216 ,M-11,KO,Lymph Node,Ifng,21.03,3,2026.04.17
S1103,Mouse 53,WT,thymus,Cd4,20.34,2,30/03/2026
S_1269,mouse_61,ko,spleen,Foxp3,29.1,3,03-11-2026
S0355,Mouse 17,WT,spleen,Gapdh,18.28,1,2026.03.10
S1119,Mouse 54,KO,thymus,IFNG,21.07,3,04-28-2026
S0208,M-10,wt,Spleen,Gapdh,18.46,1,04-10-2026
S1227,M-59,WT,Thymus,Foxp3,25.58,3,24.03.2026
S0699,Mouse 34,HET,spleen,Ifng,22.07,3,2026.04.08
S1574,mouse_75,Het,Spleen,Gapdh,17.5,2,10/03/2026
s1443,Mouse69,WT,Lymph Node,Cd8a,21.77,3,02/04/2026
S0654,M-32,WT,Lymph Node,Il2,22.76,3,2026.03.05
S1029,Mouse49,Het,thymus,Gapdh,18.33,3,17.04.2026
S_417,mouse_20,WT,spleen,Tnfa,23.9,3,03-15-2026
S1672,Mouse 80,WT,spleen,Cd8a,20.33,1,2026.03.24
S_1472,mouse_71,KO,spleen,Il2,27.61,2,03-09-2026
S1720,mouse_82,KO,Thymus,GAPDH,18.54,1,03-16-2026
S1284,Mouse62,Het,Lymph Node,Il2,23.21,3,04/03/2026
S0443,Mouse 22,wt,spleen,Il2,25.18,2,03/03/2026
S_1047,Mouse 50,Het,Thymus,Tnfa,23.39,3,2026.03.15
S1091 ,mouse_52,KO,Spleen,Gapdh,Undetermined,2,17.04.2026
S0349,Mouse 17,WT,spleen,Cd8a,20.13,1,10.03.2026
S0588,Mouse28,KO,Spleen,GAPDH,19.13,3,03-28-2026
S0404,mouse_20,WT,spleen,IFNG,23.05,2,15/03/2026
s0363,Mouse 18,ko,Spleen,Ifng,21.93,3,04-19-2026
S0027,Mouse 2,WT,Spleen,Ifng,Undetermined,3,04-02-2026
S1619,Mouse78,wt,spleen,Il2,27.17,2,21/04/2026
S1117,Mouse 54,KO,thymus,IFNG,21.47,1,2026.04.28
S0178,Mouse 9,KO ,spleen,Cd4,19.92,1,18.04.2026
S1832,M-88,KO,thymus,Ifng,22.86,2,04-01-2026
S1620,Mouse78,wt,spleen,IL2,27.19,3,21/04/2026
S0706,Mouse 34,HET,spleen,Cd8a,20.75,1,08/04/2026
S1675,Mouse 80,WT,spleen,Tnfa,22.69,1,03-24-2026
S_253,mouse_13,WT,Thymus,Il2,23.22,1,2026.03.06
S0415,mouse_20,WT,spleen,Tnfa,22.84,1,15/03/2026
S0194,M-10,wt,Spleen,IFNG,22.34,2,04-10-2026
s1083,mouse_52,KO,Spleen,Cd4,20.33,3,17.04.2026
S1706,mouse_82,KO,Thymus,Ifng,Undetermined,2,16.03.2026
S0937,mouse_45,ko,thymus,Cd8a,21.39,1,15/03/2026
S0446,Mouse 22,wt,spleen,Ifng,22.13,2,03-03-2026
S1711,mouse_82,KO,Thymus,Cd4,19.45,1,03-16-2026
S0884,Mouse43,WT,Spleen,IL2,24.03,2,04-27-2026
S1011,Mouse49,Het,thymus,Il2,23.06,3,2026.04.17
s0452,Mouse 22,wt,spleen,CD4,19.65,2,2026.03.03
S0465,Mouse 23,ko,spleen,Il2,23.04,3,04-29-2026
S0611,Mouse30,Het,Spleen,IL2,24.03,2,2026.03.10
S0459,Mouse 22,wt,spleen,Tnfa,23.35,3,03.03.2026
S1308,mouse_63,KO,spleen,IFNG,22.1,3,12/04/2026
S1511,Mouse72,ko,Thymus,Gapdh,16.86,2,28.03.2026
S0839,Mouse 40,WT,spleen,GAPDH,18.12,2,03-11-2026
s0370,Mouse 18,ko,Spleen,CD8A,19.91,1,2026.04.19
S0485,Mouse24,WT,thymus,Il2,23.16,2,04-29-2026
S0603,mouse_29,wt,spleen,Cd8a,20.53,3,2026.04.28
S1127,Mouse 54,KO,thymus,CD8A,19.65,2,28/04/2026
S0308 ,Mouse 15,WT ,thymus,CD8A,20.92,2,03-03-2026
S_286,Mouse 14,HET,Thymus,Cd8a,21.18,1,2026.03.31
S0621,Mouse30,Het,Spleen,Cd4,19.23,3,03-10-2026
S1193,M-57,WT,Thymus,Tnfa,22.89,2,04-13-2026
S1852,Mouse89,WT ,spleen,Ifng,21.52,1,03-28-2026
S0563,M-27,WT,spleen,Tnfa,23.2,2,14/04/2026
S0596,mouse_29,wt,spleen,FOXP3,28.82,2,2026.04.28
S0849,mouse_41,KO ,Spleen,Foxp3,29.39,3,03-27-2026
S1163,M-56,WT,thymus,Foxp3,25.04,2,04.04.2026
S1196,M-57,WT,Thymus,Gapdh,17.91,2,13.04.2026
S0098,M-5,KO,Lymph Node,Cd8a,,2,09.04.2026
S0700,Mouse 34,HET,spleen,Foxp3,29.59,1,04-08-2026
s0896,Mouse43,WT,Spleen,Cd8a,21.11,2,27.04.2026
S0678,M-33,Het,spleen,Ifng,21.81,3,17.03.2026
S_140,Mouse 7,WT,Lymph Node,Cd8a,21.32,2,10/04/2026
s1497,Mouse72,ko,Thymus,IFNG,23.12,3,28/03/2026
S0833,Mouse 40,WT,spleen,Cd8a,Undetermined,2,11/03/2026
S0632,M-31,HET,Spleen,Il2,24.42,2,2026.03.06
S_846,mouse_41,KO ,Spleen,Ifng,22.2,3,27/03/2026
S_1407,Mouse67,KO,Lymph Node,Gapdh,17.2,3,04-06-2026
s0129,Mouse 7,WT,Lymph Node,Il2,24.39,3,10/04/2026
S1751,Mouse84,KO,Spleen,Foxp3,27.3,2,2026.04.02
S0597,mouse_29,wt,spleen,Foxp3,30.97,3,28.04.2026
S0684 ,M-33,Het,spleen,Cd4,20.63,3,17/03/2026
S1295,Mouse62,Het,Lymph Node,CD8A,20.44,2,04.03.2026
S0523,mouse_25,KO,thymus,Gapdh,18.5,1,21/03/2026
S0265,mouse_13,WT,Thymus,Cd8a,21.12,1,2026.03.06
S1349,mouse_65,WT,spleen,Ifng,21.04,2,14/03/2026
S1347,mouse_65,WT,spleen,IL2,24.69,3,14/03/2026
S1510,Mouse72,ko,Thymus,Gapdh,18.46,1,28.03.2026
s0499,Mouse24,WT,thymus,Tnfa,23.3,1,29.04.2026
s1264,mouse_61,ko,spleen,Ifng,21.94,1,11/03/2026
s1576,Mouse76,KO ,thymus,IL2,27.47,1,03-17-2026
S1550 ,Mouse74,WT,Spleen,Tnfa,23.06,2,27.04.2026
S0433,Mouse 21,WT ,thymus,Cd8a,Undetermined,1,10.03.2026
S1099,Mouse 53,WT,thymus,Foxp3,26.6,1,30.03.2026
S0708,Mouse 34,HET,spleen,Cd8a,21.06,3,2026.04.08
S0069,Mouse 4,Het,Lymph Node,IFNG,21.98,3,02/04/2026
S1622,Mouse78,wt,spleen,Ifng,22.46,2,21/04/2026
S1721,mouse_82,KO,Thymus,GAPDH,18.54,2,2026.03.16
S1180,M-57,WT,Thymus,Ifng,21.58,1,2026.04.13
S0976,M-47,KO,spleen,Cd4,20.34,1,18/04/2026
S0339 ,Mouse 17,WT,spleen,IL2,26.28,3,10/03/2026
S1134,Mouse 54,KO,thymus,Gapdh,17.08,3,04-28-2026
S0384 ,Mouse 19,KO,Lymph Node,Ifng,21.64,3,03-11-2026
S0830,Mouse 40,WT,spleen,Cd4,Undetermined,2,11/03/2026
S0056 ,Mouse 3,Het,Thymus,Cd8a,20.63,2,03-04-2026
S1507,Mouse72,ko,Thymus,Tnfa,22.15,1,28.03.2026
S_688,M-33,Het,spleen,Tnfa,23.36,1,2026.03.17
S1456 ,M-70,Het,Lymph Node,Foxp3,26.25,1,03-26-2026
S0638,M-31,HET,Spleen,Foxp3,26.04,2,06.03.2026
S1612,Mouse 77,KO ,Lymph Node,Tnfa,23.51,1,2026.03.14
S0171,Mouse 9,KO ,spleen,IL2,25.64,3,04-18-2026
S1716,mouse_82,KO,Thymus,Cd8a,21.47,3,16/03/2026
S0965,M-46,KO ,Spleen,Gapdh,17.87,2,03-21-2026
S0327,Mouse16,Het,spleen,Cd4,20.25,3,2026.04.05
S0504,Mouse24,WT,thymus,Gapdh,18.33,3,04-29-2026
S0893 ,Mouse43,WT,Spleen,Cd4,19.94,2,04-27-2026
S0410,mouse_20,WT,spleen,CD4,20.41,2,2026.03.15
S0298,Mouse 15,WT ,thymus,Ifng,21.88,1,03.03.2026
S1152,Mouse55,KO ,spleen,Tnfa,23.24,3,29/03/2026
S1211,mouse_58,Het,thymus,CD8A,20.65,2,2026.04.19
s0672,M-32,WT,Lymph Node,GAPDH,18.27,3,05.03.2026
S0745,Mouse36,KO,Spleen,Cd4,19.98,1,03-21-2026
S1040,Mouse 50,Het,Thymus,Cd4,19.58,2,15/03/2026
S0649,M-31,HET,Spleen,GAPDH,17.85,1,2026.03.06
S1011,Mouse49,Het,thymus,Il2,23.06,3,2026.04.17
S1600,Mouse 77,KO ,Lymph Node,Ifng,21.55,1,14/03/2026
S1462,M-70,Het,Lymph Node,CD8A,20.76,1,03-26-2026
S1863,Mouse89,WT ,spleen,Cd8a,21.33,3,03-28-2026
s1043,Mouse 50,Het,Thymus,CD8A,19.74,2,03-15-2026
S0532,Mouse 26,WT ,Lymph Node,Foxp3,25.64,1,2026.04.05
S0408,mouse_20,WT,spleen,FOXP3,26.82,3,15/03/2026
S0200,M-10,wt,Spleen,Cd4,20.31,2,2026.04.10
s0474,Mouse 23,ko,spleen,CD4,20.89,3,2026.04.29
S0841,mouse_41,KO ,Spleen,Il2,28.43,1,03-27-2026
S0217,M-11,KO,Lymph Node,FOXP3,29.22,1,2026.04.17
S0254,mouse_13,WT,Thymus,Il2,23.94,2,03-06-2026
S0153,mouse_8,WT,thymus,Ifng,22.1,3,08.04.2026
S0825,Mouse 40,WT,spleen,Ifng,22.17,3,2026.03.11
S1078,mouse_52,KO,Spleen,Foxp3,29.89,1,17/04/2026
S1195,M-57,WT,Thymus,Gapdh,18.03,1,13/04/2026
S1383,M-66,KO,thymus,Tnfa,23.17,3,01/04/2026
S0636,M-31,HET,Spleen,Ifng,21.34,3,03-06-2026
S1532,Mouse73,WT,Lymph Node,Gapdh,18.07,2,14/04/2026
S1178,M-57,WT,Thymus,Il2,25.05,2,2026.04.13
S0531,Mouse 26,WT ,Lymph Node,Ifng,22.22,3,2026.04.05
s1082,mouse_52,KO,Spleen,Cd4,19.9,2,17.04.2026
S1887 ,mouse_90,KO,Thymus,Tnfa,Undetermined,3,05.03.2026
S0241,Mouse12,WT ,thymus,Cd4,20.57,1,2026.04.03
S1261 ,mouse_61,ko,spleen,Il2,27.5,1,11.03.2026
S1356,mouse_65,WT,spleen,Cd4,20.48,3,14.03.2026
S0188,Mouse 9,KO ,spleen,Gapdh,18.06,2,18.04.2026
S0247 ,Mouse12,WT ,thymus,Tnfa,22.56,1,04-03-2026
S1325,Mouse 64,WT,Lymph Node,Il2,23.98,2,07/04/2026
S0949,M-46,KO ,Spleen,IFNG,22.5,1,2026.03.21
S0803,M-39,ko,spleen,Ifng,21.73,2,25.04.2026
s0303,Mouse 15,WT ,thymus,Foxp3,26.78,3,03.03.2026
S0284,Mouse 14,HET,Thymus,Cd4,19.58,2,31.03.2026
S1324,Mouse 64,WT,Lymph Node,Il2,24.46,1,07.04.2026
S0506,mouse_25,KO,thymus,Il2,27.84,2,2026.03.21
S1827,Mouse87,Het,spleen,Gapdh,19.1,3,15.03.2026
S0968,M-47,KO,spleen,IL2,26.27,2,18.04.2026
S1402,Mouse67,KO,Lymph Node,Tnfa,23.09,1,06/04/2026
S1200,mouse_58,Het,thymus,Il2,23.18,3,2026.04.19
S0755,Mouse36,KO,Spleen,Gapdh,17.56,2,21.03.2026
S0622,Mouse30,Het,Spleen,Cd8a,20.22,1,10/03/2026
S1660,Mouse 80,WT,spleen,Il2,22.78,1,24.03.2026
S0948,M-46,KO ,Spleen,Il2,23.59,3,03-21-2026
s0123,Mouse 6,Het,thymus,Tnfa,22.41,3,22/03/2026
S0729,M-35,KO,Lymph Node,Cd8a,20.45,3,2026.03.30
s0511,mouse_25,KO,thymus,Foxp3,29.66,1,21.03.2026
S0281 ,Mouse 14,HET,Thymus,Foxp3,25.65,2,31.03.2026
S1184,M-57,WT,Thymus,Foxp3,26.75,2,13/04/2026
S1320,mouse_63,KO,spleen,Tnfa,22.3,3,12.04.2026
S0886,Mouse43,WT,Spleen,Ifng,22.45,1,27/04/2026
S1719,mouse_82,KO,Thymus,Tnfa,23.26,3,03-16-2026
S1003,M-48,WT,Lymph Node,Tnfa,22.7,1,05.04.2026
S0519,mouse_25,KO,thymus,Cd8a,20.48,3,03-21-2026
S0689 ,M-33,Het,spleen,Tnfa,22.23,2,17.03.2026
S1433,Mouse69,WT,Lymph Node,Ifng,23.09,2,04-02-2026
S0068,Mouse 4,Het,Lymph Node,Ifng,22.92,2,04-02-2026
S1881,mouse_90,KO,Thymus,Cd4,19.28,3,05/03/2026
S0569,Mouse28,KO,Spleen,Il2,27.22,2,28/03/2026
S0769,Mouse 37,Het,Spleen,Cd8a,21.26,1,03.03.2026
S1138,Mouse55,KO ,spleen,Ifng,22.44,1,03-29-2026
S1361,mouse_65,WT,spleen,Tnfa,23.05,2,14/03/2026
S1678,Mouse 80,WT,spleen,Gapdh,18.61,1,2026.03.24
S0473,Mouse 23,ko,spleen,Cd4,20.0,2,04-29-2026
S1294,Mouse62,Het,Lymph Node,Cd8a,19.81,1,2026.03.04
S0512,mouse_25,KO,thymus,FOXP3,28.96,2,21.03.2026
S0971 ,M-47,KO,spleen,IFNG,21.4,2,18/04/2026
S1417 ,Mouse68,Het,thymus,Cd4,19.38,1,20.04.2026
S1332,Mouse 64,WT,Lymph Node,Foxp3,25.33,3,07/04/2026
S0319,Mouse16,Het,spleen,Ifng,,1,04-05-2026
S1190,M-57,WT,Thymus,Cd8a,21.19,2,2026.04.13
S0904,Mouse44,KO,spleen,Il2,23.09,1,11/03/2026
S0582,Mouse28,KO,Spleen,CD8A,21.23,3,28/03/2026
s0133,Mouse 7,WT,Lymph Node,Foxp3,26.37,1,10.04.2026
s1635,Mouse78,wt,spleen,TNFA,22.29,3,2026.04.21
S0836,Mouse 40,WT,spleen,Tnfa,23.28,2,11/03/2026
S0716,M-35,KO,Lymph Node,IL2,28.44,2,2026.03.30
S1847,M-88,KO,thymus,Gapdh,18.79,2,04-01-2026
S0369,Mouse 18,ko,Spleen,Cd4,20.62,3,19.04.2026
S_1296,Mouse62,Het,Lymph Node,Cd8a,20.91,3,03-04-2026
S0126 ,Mouse 6,Het,thymus,Gapdh,26.09,3,22.03.2026
S0842,mouse_41,KO ,Spleen,Il2,28.58,2,27/03/2026
S0946,M-46,KO ,Spleen,Il2,23.14,1,21.03.2026
S0257 ,mouse_13,WT,Thymus,Ifng,22.93,2,06/03/2026
S1861,Mouse89,WT ,spleen,Cd8a,20.72,1,03-28-2026
S1052,Mouse51,HET,spleen,Il2,24.73,2,2026.04.29
S0290,Mouse 14,HET,Thymus,Tnfa,22.66,2,2026.03.31
S0082,Mouse 4,Het,Lymph Node,Gapdh,17.7,1,2026.04.02
S0054,Mouse 3,Het,Thymus,Cd4,20.45,3,03-04-2026
S1084,mouse_52,KO,Spleen,Cd8a,20.45,1,04-17-2026
S0558,M-27,WT,spleen,Cd4,18.67,3,2026.04.14
S0041,Mouse 2,WT,Spleen,Gapdh,18.13,2,02.04.2026
S1147,Mouse55,KO ,spleen,Cd8a,20.48,1,03-29-2026
S0262,mouse_13,WT,Thymus,Cd4,21.41,1,2026.03.06
S1524 ,Mouse73,WT,Lymph Node,Cd4,19.9,3,14.04.2026
S1095,Mouse 53,WT,thymus,IL2,23.35,3,2026.03.30
S0084,Mouse 4,Het,Lymph Node,Gapdh,,3,04-02-2026
S1282,Mouse62,Het,Lymph Node,Il2,24.33,1,04/03/2026
s1154,Mouse55,KO ,spleen,Gapdh,18.46,2,03-29-2026
S_1657,mouse_79,WT,thymus,Gapdh,17.66,1,03-23-2026
S0730,M-35,KO,Lymph Node,Tnfa,22.19,1,30/03/2026
S0031,Mouse 2,WT,Spleen,Cd4,19.39,1,02/04/2026
S0514,mouse_25,KO,thymus,Cd4,19.0,1,21/03/2026
S1234,M-59,WT,Thymus,Tnfa,22.15,1,24.03.2026
S1789,mouse_86,WT,spleen,Ifng,22.5,1,18/03/2026
S0913,Mouse44,KO,spleen,Cd4,20.26,1,11.03.2026
S1248,Mouse60,HET,Thymus,Foxp3,25.81,3,01.03.2026
S1241,Mouse60,HET,Thymus,Il2,23.34,2,03-01-2026
S1512,Mouse72,ko,Thymus,Gapdh,18.1,3,28.03.2026
S1343,Mouse 64,WT,Lymph Node,Gapdh,17.48,2,07/04/2026
S1835,M-88,KO,thymus,Foxp3,24.91,2,04-01-2026
S1739,M-83,KO,Thymus,Tnfa,23.31,2,2026.03.23
S1776 ,mouse_85,KO,Thymus,Cd4,19.89,3,03/04/2026
S0049,Mouse 3,Het,Thymus,Foxp3,25.32,1,04.03.2026
S1331,Mouse 64,WT,Lymph Node,Foxp3,26.07,2,2026.04.07
S1759,Mouse84,KO,Spleen,Tnfa,22.55,1,02.04.2026
S0468,Mouse 23,ko,spleen,Ifng,21.15,3,29/04/2026
s0154,mouse_8,WT,thymus,Foxp3,33.73,1,08.04.2026
S1777,mouse_85,KO,Thymus,Cd8a,20.53,1,03.04.2026
S0395,Mouse 19,KO,Lymph Node,Tnfa,22.08,2,11.03.2026
S0124,Mouse 6,Het,thymus,Gapdh,17.66,1,22/03/2026
S0356,Mouse 17,WT,spleen,Gapdh,18.03,2,03-10-2026
S0135 ,Mouse 7,WT,Lymph Node,FOXP3,25.77,3,04-10-2026
S0269,mouse_13,WT,Thymus,TNFA,23.07,2,03-06-2026
S0386,Mouse 19,KO,Lymph Node,Foxp3,29.53,2,11.03.2026
S0610,Mouse30,Het,Spleen,IL2,23.92,1,10/03/2026
S0221,M-11,KO,Lymph Node,Cd4,19.57,2,2026.04.17
S0042,Mouse 2,WT,Spleen,Gapdh,18.53,3,02/04/2026
S0220,M-11,KO,Lymph Node,Cd4,19.35,1,17/04/2026
S0598,mouse_29,wt,spleen,Cd4,20.08,1,04-28-2026
S_1197,M-57,WT,Thymus,Gapdh,18.58,3,2026.04.13
S1681,Mouse81,WT,Spleen,Il2,24.62,1,03-20-2026
S_681,M-33,Het,spleen,Foxp3,26.55,3,17.03.2026
S1028,Mouse49,Het,thymus,GAPDH,18.7,2,04-17-2026
S1806,mouse_86,WT,spleen,Gapdh,17.9,3,03-18-2026
S1304,mouse_63,KO,spleen,Il2,27.3,2,04-12-2026
S0542 ,Mouse 26,WT ,Lymph Node,Tnfa,Undetermined,2,05.04.2026
S1741 ,M-83,KO,Thymus,Gapdh,17.92,1,2026.03.23
S0757,Mouse 37,Het,Spleen,Il2,23.96,1,03-03-2026
S0934,mouse_45,ko,thymus,Cd4,20.27,1,03-15-2026
S1783,mouse_85,KO,Thymus,Gapdh,17.99,1,03.04.2026
s1432,Mouse69,WT,Lymph Node,IFNG,22.05,1,02.04.2026
S0821 ,Mouse 40,WT,spleen,Il2,23.33,2,11/03/2026
S1229,M-59,WT,Thymus,CD4,20.33,2,24.03.2026
S1414,Mouse68,Het,thymus,Foxp3,25.92,1,04-20-2026
S1498,Mouse72,ko,Thymus,Foxp3,25.35,1,28/03/2026
S0979,M-47,KO,spleen,Cd8a,21.04,1,2026.04.18
S1694,Mouse81,WT,Spleen,Cd8a,21.66,2,03-20-2026
